Id_producto,Producto,Laboratorio,Clasificacion
182052,urinario-urinario,HADDAD PLASTICOS,accesorios-medicos
136016,23g-aguja,BD MEDICAL,accesorios-medicos
296727,tensiometro-muneca-modelo-hem-6123-regalo,VARIOS ACC.MEDICOS,accesorios-medicos
82194,pack-de-2-pilas-aa,DURACELL,accesorios-medicos
266329,sanderson-cloruro-de-sodio-09-solucion-inyectable-5-ampollas-de-20-ml,SANDERSON,accesorios-medicos
182070,guantes-talla-6-esteriles-1-par-de-guantes,ADVENTA,accesorios-medicos
136014,21g-aguja,BD MEDICAL,accesorios-medicos
182073,guantes-talla-7-12-esteriles-1-par-de-guantes,ADVENTA,accesorios-medicos
136012,luer-lock-plastipak-jeringa,BD MEDICAL,accesorios-medicos
274351,clean-toalla-humeda,ALCON ETICO,accesorios-medicos
265440,multiproposito-solucion-60-ml,VISION CARE,accesorios-medicos
300644,home-control-kit-test-rapido-de-deteccion-del-anticuerpo-covid-19-1-unidad,LA PREPIE,accesorios-medicos
136013,luer-lok-jeringa-desechable-5-ml,BD MEDICAL,accesorios-medicos
260926,plus-solucion-de-355-ml,VISION CARE,accesorios-medicos
250039,renu-plus-gotas-lubricantes-y-rehumectantes-8-ml,VISION CARE,accesorios-medicos
137012,rewetting-gotas-10-ml,ALCON OPTICA,accesorios-medicos
296618,braun-forehead-termometro-de-frente-bfh175,BRAUN,accesorios-medicos
182092,muncare-guantes-latex-100-unidades-talla-s,SUPERMAX,accesorios-medicos
136011,aguja%C2%A0hipodermica-desechable-26gx12,BD MEDICAL,accesorios-medicos
182090,muncare-guantes-latex-100-unidades-talla-l,SUPERMAX,accesorios-medicos
136065,ultra-fine-31g-aguja,BD DIABETES,accesorios-medicos
182075,guantes-talla-8-12-esteriles-1-par-de-guantes,ADVENTA,accesorios-medicos
136019,25g-jeringa,BD MEDICAL,accesorios-medicos
276571,10-activair-pila,VARIOS ACC.MEDICOS,accesorios-medicos
265295,renu-fresh-kit-de-viaje-solucion-multiproposito,VISION CARE,accesorios-medicos
286079,medium-dispensador,DIUANA,accesorios-medicos
287407,termometro-infrarrojo-et-306,SCIANMED,accesorios-medicos
182091,muncare-guantes-latex-100-unidades-talla-m,SUPERMAX,accesorios-medicos
276570,13-activair-pila,VARIOS ACC.MEDICOS,accesorios-medicos
290419,corta-pastillas-accesorio,BEST HOUSE,accesorios-medicos
136010,25g-aguja,BD MEDICAL,accesorios-medicos
275406,lalergic-forte-levocetirizina-5-mg-5-ml-solucion-oral-100-ml,MINTLAB,alergias
251267,neohysticlar-desloratadina-5-mg-30-comprimidos-recubierto,MINTLAB,alergias
31070,nipolen-clorfenamina-4-mg-20-comprimidos,MINTLAB,alergias
267931,prednisona-5-mg-20-comprimidos,GENERICOS BIOEQUIVALENTES,alergias
267919,clorfenamina-4-mg-20-comprimidos,GENERICOS BIOEQUIVALENTES,alergias
262144,zival-levocetirizina-5-mg-40-comprimidos-recubierto,SAVAL,alergias
41036,prodel-clorfenamina-maleato-4-mg-20-comprimidos,PASTEUR,alergias
15451,dezartal-deflazacort-30-mg-20-comprimidos,ANDROMACO ETICO,alergias
15452,dezartal-deflazacort-6-mg-30-comprimidos,ANDROMACO ETICO,alergias
273015,loratadina-10-mg-30-comprimidos,GENERICOS BIOEQUIVALENTES,alergias
252180,procion-prednisona-20-mg-20-comprimidos,MEDIPHARM,alergias
250774,neo-alertop-levocetirizina-5-mg-30-comprimidos-recubiertos,CHILE MARCAS,alergias
1147,cortiprex-prednisona-20-mg-20-comprimidos-recubierto,CHILE MARCAS,alergias
6289,alexia-fexofenadina-120-mg-30-comprimidos-recubierto,SAVAL,alergias
9118,remitex-cetirizina-10-mg-30-comprimidos-recubierto,BAGO,alergias
275402,lalergic-levocetirizina-25-mg-5-ml-solucion-oral-100-ml,MINTLAB,alergias
287253,neo-alledryl-desloratadina-5-mg-60-comprimidos,PRATER,alergias
287255,levorigotax-levocetirizina-5-mg-60-comprimidos,PRATER,alergias
265019,neohysticlar-desloratadina-5-mg-60-comprimidos-recubierto,MINTLAB,alergias
11020,iliadin-adulto-oximetazolina-5-mg-inhalador-spray-nasal-10-ml,P&amp;G EX MERCK CONSUMO,alergias
253954,despex-desloratadina-5-mg-30-comprimidos-recubierto,CHILE MARCAS,alergias
264235,despeval-desloratadina-5-mg-40-comprimidos-recubiertos,SAVAL,alergias
9218,degraler-levocetirizina-5-mg-40-comprimidos-recubiertos,BAGO,alergias
268132,xuzal-levocetirizina-25-mg5ml-solucion-oral-5-ml,GLAXO FARMA,alergias
41022,bersen-prednisona-20-mg-20-comprimidos,PASTEUR,alergias
4059,plexus-betametasona-2-mg-jarabe-120-ml,RECALCINE,alergias
275408,lalergic-levocetirizina-5-mg-solucion-oral-20-ml,MINTLAB,alergias
266807,arrumal-deflazacort-30-mg-30-comprimidos,ROYAL PHARMA,alergias
268910,tiriz-levocetirizina-5-mg-30-comprimidos-recubiertos,EUROFARMA,alergias
27175,findaler-cetirizina-10-mg-30-comprimidos,MEDIPHARM,alergias
266806,arrumal-deflazacort-6-mg-40-comprimidos,ROYAL PHARMA,alergias
251066,alexia-forte-fexofenadina-180-mg-30-comprimidos-recubierto,SAVAL,alergias
193089,coolips-cetirizina-10-mg-30-comprimidos,MINTLAB,alergias
193088,coolips-cetirizina-10-mg-10-comprimidos-recubiertos,MINTLAB,alergias
258116,levorigotax-levocetirizina-5-mg-30-comprimidos-recubierto,PRATER,alergias
253853,d-histaplus-desloratadina-5-mg-30-comprimidos,PASTEUR,alergias
6395,alexia-forte-fexofenadina-180-mg-10-comprimidos,SAVAL,alergias
275404,lalergic-levocetirizina-5-mg-30-comprimidos,MINTLAB,alergias
41019,bersen-prednisona-5-mg-20-comprimidos,PASTEUR,alergias
268736,nipolen-clorfenamina-2-mg5ml-jarabe-100-ml,MINTLAB,alergias
259748,xuzal-levocetirizina-5-mg-30-comprimidos-recubierto,GLAXO FARMA,alergias
254678,dalun-hidroxizina-10-mg-5-ml-jarabe-120-ml,MEDIPHARM,alergias
27164,rinoven-pseudoefedrina-60-mg-28-comprimidos,MEDIPHARM,alergias
41018,bersen-prednisona-20-mg5ml-suspension-60-ml,PASTEUR,alergias
255987,neo-alertop-levocetirizina-25-mg5ml-jarabe-120-ml,CHILE MARCAS,alergias
270074,levorigotax-forte-levocetirizina-5-mg5ml-jarabe-120-ml,PRATER,alergias
254224,despeval-desloratadina-25-mg-5-ml-jarabe-100-ml,SAVAL,alergias
276467,reax-rupatadina-10-mg-30-comprimidos,RECALCINE,alergias
6368,alexia-d-fexofenadina-120-mg-20-capsulas,SAVAL,alergias
27185,findaler-cetirizina-5-mg-5-ml-jarabe-100-ml,MEDIPHARM,alergias
18015,depo-medrol-metilprednisolona-40-mg-1-ampolla,PFIZER ETICO,alergias
296123,cidoten-rapi-lento-betametasona-6-mg-1-ampolla,SANFER,alergias
1443,cortiprex-prednisona-20-mg5ml-suspension-60-ml,CHILE MARCAS,alergias
64138,cronolevel-betametasona-7-mg-ml-1-ampolla,SANFER,alergias
111125,rigotax-cetirizina-10-mgml-gotas-15-ml,PRATER,alergias
111154,cariamyl-mentol-02-locion-120-ml,PRATER,alergias
265519,bilidren-bilastina-20-mg-30-comprimidos,FAES FARMA CHILE,alergias
111131,cariamyl-mentol-02-spray-130-ml,PRATER,alergias
253542,rinofilax-desloratadina-25-mg-5-ml-jarabe-100-ml,RECALCINE,alergias
2047,hidrocortisona-20-mg-20-comprimidos,GENERICOS VARIOS,alergias
41096,bersen-md-prednisona-2-mg-suspension-60-ml,PASTEUR,alergias
111126,rigotax-cetirizina-5-mg5ml-solucion-oral-60-ml,PRATER,alergias
1407,cortiprex-prednisona-1-mg-suspension-100-ml,CHILE MARCAS,alergias
262142,zival-levocetirizina-25-mg5ml-solucion-oral-120-ml,SAVAL,alergias
262143,zival-levocetirizina-5-mg-ml-solunion-oral-gotas-20-ml,SAVAL,alergias
9041,nastizol-pseudoefedrina-60-mg-28-comprimidos,BAGO,alergias
270021,loratadina-5-mg-jarabe-100-ml,GENERICOS VARIOS,alergias
23182,aerius-desloratadina-5-mg-30-comprimidos-recubierto,SANFER,alergias
264328,levorigotax-levocetirizina-5-mgml-solucion-oral-20-ml,PRATER,alergias
27178,nasomin-bacitracina-500-ui-unguento-endonasal-10-gr,MEDIPHARM,alergias
253642,oxilin-oximetazolina-005-solucion-nasal-15-ml,PASTEUR,alergias
267241,rupafin-rupatadina-10-mg-30-comprimidos,LABOMED,alergias
268141,xuzal-levocetirizina-5-mgml-solucion-oral-20-ml,GLAXO FARMA,alergias
193108,facimin-oximetazolina-05-mgml-spray-nasal-10-ml,MINTLAB,alergias
111022,alledryl-loratadina-5-mg-5-ml-jarabe-60-ml,PRATER,alergias
252055,remitex-cetirizina-5-mg5ml-jarabe-100-ml,BAGO,alergias
253729,degraler-levocetirizina-25-mg-5-ml-jarabe-100-ml,BAGO,alergias
60086,zyrtec-cetirizina-5-mg5ml-jarabe-60-ml,GLAXO FARMA,alergias
262683,allegra-fexofenadina-180-mg-30-comprimidos-recubiertos,SANOFI CHC,alergias
12146,cobefen-betametasona-2-mg-30-comprimidos,SANITAS,alergias
262527,xylisol-d-xylitol-7-spray-nasal-25-ml,D &amp; M PHARMA,alergias
18031,medrol-metilprednisolona-4-mg-20-comprimidos,PFIZER ETICO,alergias
111020,fasarax-hidroxizina-20-mg-20-comprimidos,PRATER,alergias
264226,bion-allergo-lactobacilus-30-capsulas,P&amp;G EX MERCK CONSUMO,alergias
111130,cariamyl-mentol-02-crema-topica-40-gr,PRATER,alergias
268565,degraler-plus-levocetirizina-5-mg-40-comprimidos,BAGO,alergias
32237,allegra-fexofenadina-120-mg-30-comprimidos-recubiertoss,SANOFI CHC,alergias
111160,alledryl-d-loratadina-15-mg5ml-jarabe-120-ml,PRATER,alergias
1367,frenaler-d-loratadina-15-mg5ml-jarabe-100-ml,CHILE RECETARIO,alergias
268733,hysticlar-loratadina-5-mg-jarabe-100-ml,MINTLAB,alergias
9141,remitex-cetirizina-10-mgml-gotas-15-ml,BAGO,alergias
273518,procion-prednisona-5-mg-suspension-oral-60-ml,MEDIPHARM,alergias
12147,cobefen-betametasona-2-mg-jarabe-120-ml,SANITAS,alergias
290311,neo-alledryl-d-desloratadina-25-mg-30-comprimidos,PRATER,alergias
289529,rexanel-rupatadina-10-mg-30-comprimidos,PRATER,alergias
275587,blaxitec-bilastina-20-mg-30-comprimidos,PFIZER ETICO,alergias
256668,aerius-desloratadina-25-mg-5-ml-jarabe-100-ml,SANFER,alergias
111152,rigotax-d-cetirizina-120-mg-10-capsulas,PRATER,alergias
264227,bion-allergo-lactobacillus-30-comprimidos-masticables,P&amp;G EX MERCK CONSUMO,alergias
23012,cidoten-betametasona-05-mg-ml-gotas-30-ml,SANFER,alergias
41032,prodel-b-betametasona-2-mg-jarabe-120-ml,PASTEUR,alergias
256269,d-histaplus-desloratadina-25-mg-5-ml-solucion-oral-100-ml,PASTEUR,alergias
9209,coritex-betametasona-05-mg-ml-gotas-30-ml,BAGO,alergias
268735,neohysticlar-desloratadina-25-mg-5-ml-jarabe-90-ml,MINTLAB,alergias
27191,findaler-d-cetirizina-120-mg-20-comprimidos,MEDIPHARM,alergias
271725,zival-forte-levocetirizina-5-mg5ml-solucion-oral-120-ml,SAVAL,alergias
291148,rupafin-rupatadina-1-mg-ml-solucion-oral-120-ml,LABOMED,alergias
4061,plexus-betametasona-2-mg-30-comprimidos,RECALCINE,alergias
1097,frenaler-pediatrico-loratadina-5-mg-jarabe-60-ml,CHILE MARCAS,alergias
9099,clofexan-betametasona-2-mg-30-comprimidos,BAGO,alergias
267614,aerius-desloratadina-25-mg5ml-solucion-oral-120-ml,SANFER,alergias
111129,rigotax-cetirizina-10-mg-30-capsulas-blandas,PRATER,alergias
258076,allegra-pediatrico-fexofenadina-30-mg-5-ml-suspension-oral-150-ml,SANOFI CHC,alergias
9036,rinobanedif-bacitracina-5.000-ui-unguento-nasal-10-gr,BAGO,alergias
33025,ivarest--calamina-2-gr-crema-topica-35-gr,PROQUIFAR,alergias
262316,degraler-forte-levocetirizina-5-mg-5-ml-jarabe-100-ml,BAGO,alergias
267737,remitex-d-pseudoefedrina-120-mg-20-comprimidos-liberacion-prolongada,BAGO,alergias
27180,dalun-hidroxizina-20-mg-20-comprimidos,MEDIPHARM,alergias
272218,betavol-betametasona-5-mg-1-ampolla,EUROFARMA,alergias
250887,alledryl-d-pseudoefedrina-120-mg-20-capsulas,PRATER,alergias
1264,dacam-inyectable-rapi-lento-betametasona-6-mg-1-ampolla,CHILE RECETARIO,alergias
264327,levorigotax-levocetirizina-25-mg-5-ml-jarabe-100-ml,PRATER,alergias
257742,despex-desloratadina-25-mg-5-ml-jarabe-120-ml,CHILE MARCAS,alergias
253730,degraler-levocetirizina-5-mgml-gotas-15-ml,BAGO,alergias
6360,alexia-d-fexofenadina-60-mg-10-capsulas,SAVAL,alergias
18176,medrol-metilprednisolona-16-mg-14-comprimidos,PFIZER ETICO,alergias
32239,allegra-d-fexofenadina-120-mg-20-comprimidos,SANOFI CHC,alergias
41084,prodel-b-betametasona-2-mg-30-comprimidos,PASTEUR,alergias
41031,prodel-b-betametasona-2-mg-10-comprimidos,PASTEUR,alergias
260574,betametasona-4-mg-5-ampollas,GENERICOS VARIOS,alergias
111128,rigotax-cetirizina-10-mg-10-capsulas-blandas,PRATER,alergias
23013,cidoten-betametasona-4-mg-1-ampolla,SANFER,alergias
1122,cam-betametasona-2-mg-jarabe-120-ml,CHILE MARCAS,alergias
111099,cariamyl-mentol-02-crema-topica-20-gr,PRATER,alergias
41009,prodel-clorfenamina-2-mg5ml-jarabe-120-ml,PASTEUR,alergias
60112,zyrtec-cetirizina-10-mg-30-comprimidos-recubiertos,GLAXO FARMA,alergias
9098,clofexan-betametasona-2-mg-jarabe-120-ml,BAGO,alergias
18013,depo-medrol-metilprednisolona-40-mg-1-ml-ampolla,PFIZER ETICO,alergias
1121,cam-betametasona-2-mg-30-comprimidos,CHILE MARCAS,alergias
111021,fasarax-hidroxicina-10-mg5ml-jarabe-120-ml,PRATER,alergias
111153,rigotax-d--pseudoefedrina-120-mg-30-capsulas-liberacion-prolongada,PRATER,alergias
18163,depo-medrol-jp-metilprednisolona-40-mg-1-jeringa,PFIZER ETICO,alergias
272602,all-out-ciclometicona-locion-elimina-piojos-y-liendres-150-ml,MAVER,antibioticos
262686,para-dimeticona-locion-acondicionadora-100-ml-con-peine-de-arrastre,ROYAL PHARMA,antibioticos
254792,moxaval-moxifloxacino-400-mg-7-comprimidos-recubierto,SAVAL,antibioticos
257752,recamicina-levofloxacina-750-mg-7-comprimidos-recubierto,RECALCINE,antibioticos
87130,tavor-fluconazol-150-mg-1-comprimido,TECNOFARMA,antibioticos
275680,almaxol-moxifloxacino-400-mg-10-comprimidos-recubierto,MINTLAB,antibioticos
4556,recamicina-levofloxacina-500-mg-7-comprimidos,RECALCINE,antibioticos
1323,preclar-claritromicina-500-mg-14-comprimidos,CHILE RECETARIO,antibioticos
199465,claritromicina-500-mg-bioequivalente-14-comprimidos,GENERICOS BIOEQUIVALENTES,antibioticos
259539,maximox-amoxicilina-875-mg-14-comprimidos-recubierto,PASTEUR,antibioticos
260505,ciriax-ciprofloxacino-500-mg-10-comprimidos-recubierto,PHARMA INVESTI,antibioticos
6060,ciproval-ciprofloxacino-500-mg-10-comprimidos,SAVAL,antibioticos
41021,metropast-metronidazol-500-mg-10-comprimidos,PASTEUR,antibioticos
264913,levofloxacina-500-mg-7-comprimidos,GENERICOS BIOEQUIVALENTES,antibioticos
273041,almaxol-moxifloxacino-400-mg-7-comprimidos-recubierto,MINTLAB,antibioticos
272673,clavam-duo-amoxicilina-875-mg-20-comprimidos-recubierto,EUROFARMA,antibioticos
41086,metropast-metronidazol-500-mg-20-comprimidos,PASTEUR,antibioticos
41088,felsol-fluconazol-150-mg-2-capsulas,PASTEUR,antibioticos
4457,fluctin-fluconazol-150-mg-2-capsulas,RECALCINE,antibioticos
4618,clavoxilina-bid-875125-amoxicilina-875-mg-20-comprimidos,RECALCINE,antibioticos
261957,quinobiot-levofloxacina-500-mg-10-comprimidos,ANDROMACO ETICO,antibioticos
271959,plusgin-fluconazol-150-mg-1-capsula,RAFFO,antibioticos
256837,quinobiot-levofloxacina-750-mg-10-comprimidos,ANDROMACO ETICO,antibioticos
260374,cerevax-cefuroximo-500-mg-14-comprimidos-recubierto,RECALCINE,antibioticos
272234,levoxin-levofloxacina-500-mg-7-comprimidos,EUROFARMA,antibioticos
41087,felsol-fluconazol-150-mg-1-capsula,PASTEUR,antibioticos
289562,fluconazol-150-mg-2-capsulas,GENERICOS BIOEQUIVALENTES,antibioticos
1438,auxxil-levofloxacina-500-mg-14-comprimidos,CHILE RECETARIO,antibioticos
1493,auxxil-levofloxacina-500-mg-10-comprimidos,CHILE RECETARIO,antibioticos
15366,clarimax-claritromicina-500-mg-14-comprimidos,ANDROMACO ETICO,antibioticos
275149,amoxcilina-acido-clavulanico-125-mg-20-comprimidos,GENERICOS BIOEQUIVALENTES,antibioticos
259802,auxxil-levofloxacina-750-mg-10-comprimidos-recubierto,CHILE RECETARIO,antibioticos
254793,moxaval-moxifloxacino-400-mg-10-comprimidos-recubierto,SAVAL,antibioticos
253097,auxxil-levofloxacina-750-mg-7-comprimidos-recubierto,CHILE RECETARIO,antibioticos
6388,euromicina-claritromicina-500-mg-20-comprimidos,SAVAL,antibioticos
87131,tavor-fluconazol-150-mg-4-comprimidos,TECNOFARMA,antibioticos
4613,recamicina-levofloxacina-500-mg-10-comprimidos,RECALCINE,antibioticos
4621,infex-claritromicina-500-mg-20-comprimidos,RECALCINE,antibioticos
260548,maximox-amoxicilina-875-mg-20-comprimidos-recubierto,PASTEUR,antibioticos
259570,recamicina-levofloxacina-750-mg-10-comprimidos-recubierto,RECALCINE,antibioticos
6312,finex-terbinafina-250-mg-28-comprimidos,SAVAL,antibioticos
288098,leflonex-levofloxacina-500-mg-10-comprimidos,PASTEUR,antibioticos
15502,clarimax-claritromicina-500-mg-20-comprimidos,ANDROMACO ETICO,antibioticos
254532,quinobiot-levofloxacina-750-mg-7-comprimidos,ANDROMACO ETICO,antibioticos
251250,infex-claritromicina-500-mg-14-comprimidos-recubierto,RECALCINE,antibioticos
253733,clavoxilina-bid-amoxicilina-875-mg-14-comprimidos-recubiertos,RECALCINE,antibioticos
6297,ciproval-ciprofloxacino-500-mg-20-comprimidos,SAVAL,antibioticos
87071,tavor-fluconazol-150-mg-2-capsulas,TECNOFARMA,antibioticos
277287,levoxin-levofloxacina-750-mg-10-comprimidos,EUROFARMA,antibioticos
1205,adroxef-cefadroxilo-500-mg-14-capsulas,CHILE RECETARIO,antibioticos
268812,ciprofloxacino-500-mg-6-comprimidos,GENERICOS BIOEQUIVALENTES,antibioticos
272932,plusgin-fluconazol-150-mg-2-capsulas,RAFFO,antibioticos
253538,terbinafina-250-mg-28-comprimidos,GENERICOS BIOEQUIVALENTES,antibioticos
256380,moxicino-moxifloxacino-400-mg-10-comprimidos,ANDROMACO ETICO,antibioticos
255779,micoset-terbinafina-250-mg-28-comprimidos,BAGO,antibioticos
41089,felsol-fluconazol-150-mg-4-capsulas,PASTEUR,antibioticos
268905,clavam-duo-amoxicilina-875-mg-14-comprimidos-recubierto,EUROFARMA,antibioticos
270963,cefadroxilo-500-mg-8-capsulas,GENERICOS BIOEQUIVALENTES,antibioticos
199252,penicilina-sodica-1000000-ui-1-ampolla,GENERICOS VARIOS,antibioticos
199251,penicilina-sodica-penicilina--sodica-2000000-ui-1-ampolla,GENERICOS VARIOS,antibioticos
60121,septrin-forte-sulfametoxazol-160-mg-14-comprimidos,PHARMATECH,antibioticos
6261,amoval-amoxicilina-1000-mg-14-comprimidos-recubierto,SAVAL,antibioticos
1261,adroxef-cefadroxilo-250-mg5ml-jarabe-100-ml,CHILE RECETARIO,antibioticos
59204,vermoil-albendazol-4-suspension-10-ml,FARMOQUIMICA,antibioticos
6290,euromicina-claritromicina-250-mg5ml-suspension-80-ml,SAVAL,antibioticos
7177,avelox-moxifloxacino-400-mg-7-comprimidos,BAYER-SCHERING,antibioticos
199040,co-trimoxazol-sulfametoxazol-80-mg-20-comprimidos,GENERICOS VARIOS,antibioticos
199198,penicilina-fenoximetil-1000000-ui-6-comprimidos,GENERICOS VARIOS,antibioticos
22147,diflucan-fluconazol-150-mg-2-capsulas,PFIZER ETICO,antibioticos
253300,amoval-amoxicilina-1000-mg5ml-suspension-90-ml,SAVAL,antibioticos
199013,amoxicilina-250-mg5ml-jarabe-60-ml,GENERICOS VARIOS,antibioticos
259367,ambilan-bid-amoxicilina-875-mg-14-comprimidos-dispersable,CHILE RECETARIO,antibioticos
41102,clatic-claritromicina-250-mg5ml-suspension-80-ml,PASTEUR,antibioticos
60165,zentel-albendazol-400-mg-1-comprimido,GLAXO FARMA,antibioticos
6351,clavinex-duo-forte-80057-amoxicilina-57-mg5ml-suspension-35-ml,SAVAL,antibioticos
268092,nopiox-dimeticona-locion-elimina-piojos-y-liendres-120-ml,CHILE CONSUMO,antibioticos
13022,kilnits-permetrina-1-shampoo-medicado-100-ml,ANDROMACO UTC,antibioticos
32031,flagyl-metronidazol-500-mg-20-comprimidos,SANOFI - AVENTIS,antibioticos
260573,gentamicina-80-mg-5-ampollas,GENERICOS VARIOS,antibioticos
259884,itrac-itraconazol-100-mg-15-capsulas,D &amp; M PHARMA,antibioticos
199041,co-trimoxazol-forte-sulfametoxazol-160-mg-10-comprimidos,GENERICOS VARIOS,antibioticos
199267,amoxicilina-750-mg-10-comprimidos,GENERICOS VARIOS,antibioticos
259538,infex-claritromicina-250-mg5ml-suspension-80-ml,RECALCINE,antibioticos
6390,cefirax-cefpodoxima-100-mg5ml-suspension-75-ml,SAVAL,antibioticos
41008,metropast-1000-metronidazol-1000-mg-5-supositorios,PASTEUR,antibioticos
292266,zolimax-duo-40057-amoxicilina-400-mg-polvo-solucion-oral-70-ml,OPKO,antibioticos
1169,amobiotic-amoxicilina-500-mg5ml-suspension-120-ml,CHILE RECETARIO,antibioticos
268912,nistatina-100000-ui-suspension-oral-24-ml,GENERICOS VARIOS,antibioticos
7193,avelox-moxifloxacino-400-mg-10-comprimidos-recubierto,BAYER-SCHERING,antibioticos
199052,eritromicina-500-mg-8-comprimidos,GENERICOS VARIOS,antibioticos
2091,neomicina-500-mg-12-comprimidos,GENERICOS VARIOS,antibioticos
260048,infex-claritromicina-125-mg5ml-suspension-80-ml,RECALCINE,antibioticos
1398,ambilan-bid-amoxicilina-57-mg5ml-suspension-70-ml,CHILE RECETARIO,antibioticos
6352,clavinex-duo-forte-amoxicilina-57-mg-suspension-70-ml,SAVAL,antibioticos
2043,cloroquina-250-mg-20-comprimidos,GENERICOS VARIOS,antibioticos
259180,optamox-amoxicilina-875-mg-21-comprimidos,PHARMA INVESTI,antibioticos
277271,clavinex-duo-cd-amoxicilina-875-mg-14-comprimidos,SAVAL,antibioticos
57077,acantex-ceftriaxona-1-gr-1-ampolla-intravenosa,ROCHE,antibioticos
1504,amobiotic-bid-amoxicilina-1000-mg5ml-suspension-90-ml,CHILE RECETARIO,antibioticos
199073,mebendazol-100-mg-6-comprimidos,GENERICOS VARIOS,antibioticos
199226,cefradoxilo-250-mg5ml-jarabe-60-ml,GENERICOS VARIOS,antibioticos
270882,augmentin-bid-amoxicilina-875-mg-14-sobres,GLAXO FARMA,antibioticos
251819,augmentin-bid-amoxicilina-875-mg-20-comprimidos-recubiertos,GLAXO FARMA,antibioticos
253299,amoval-amoxicilina-1000-mg5ml-suspension-50-ml,SAVAL,antibioticos
13175,kilnits-permetrina-1-crema-topica-100-ml,ANDROMACO UTC,antibioticos
259366,ambilan-bid-amoxicilina-875-mg-20-comprimidos-dispersable,CHILE RECETARIO,antibioticos
260321,novamox-amoxicilina-1000-mg-14-comprimidos-dispersable,PASTEUR,antibioticos
11088,tricef-cefixima-400-mg-5-capsulas,MERCK ETICO,antibioticos
11102,urotricef-cefixima-400-mg-3-capsulas,MERCK ETICO,antibioticos
199017,ampicilina-500-mg-10-capsulas,GENERICOS VARIOS,antibioticos
